kobe shrinkage
L   LAMBDA  sigma   ites     psnr
6   12      0.1     200     28.68
6   12      0.2     200     29.76
6   12      0.2     400     29.71
6   12      0.3     200     28.88
6   12      0.15    200     29.98
6   16      0.15    400     29.91
6   8       0.15    400     30.06
6   4       0.15    400     30.03
6   10      0.15    400     30.04
6   8       0.15    400     30.08
10  8       0.15    400     29.97
6   8       0.16    400     30.10
6   8       0.17    400     30.06
6   8       0.05+0.001*ite    400   28.36     
6   8       0.1+0.0005*ite    400   29.35    
6   8       0.15+0.0005*ite   400   28.96    
6   8       0.12+0.0005*ite   400   29.20     
6   8       0.11+0.0005*ite   400   29.26   
6   8       0.09+0.0005*ite   400   29.42
6   8       0.08+0.0005*ite   400   29.53
6   8       0.07+0.0005*ite   400   29.60
6   8       0.06+0.0005*ite   400   29.69
6   8       0.05+0.0005*ite   400   29.77
6   8       0.04+0.0005*ite   400   29.88
6   8       0.03+0.0005*ite   400   29.96
6   8       0.02+0.0005*ite   400   30.01
6   8       0.02+0.0005*ite   1000  27.95
6   8       0.02+0.0005*ite   600   29.17
6   8       0.02+0.0005*ite   500   29.60
6   8       0.02+0.0005*ite   300   30.00
6   10-0.01*ite       0.02+0.0005*ite   300   30.03 
6   12-0.01*ite       0.02+0.0005*ite   300   29.97
6   8-0.01*ite        0.02+0.0005*ite   300   30.03 
6   6-0.01*ite        0.02+0.0005*ite   300   29.97
6   10-0.005*ite      0.02+0.0005*ite   300   29.91 






