admm + sesci + traffic
rho     w       sigma   psnr 
0.1     120     1       20.8968
0.1     80      1       20.9263
0.1     10      1       20.7970
0.1     40      1       20.9304
0.1     50      1       20.9347
0.1     60      1       20.9351
0.1     70      1       20.9321
0.1     60      4       20.9263
0.1     60      0.1     21.2843
0.01    60      0.1     21.4170
0.01    60      0.2     21.0378
0.01    60      0.02    21.0437
0.01    60      0.06    21.5435 # 
0.01    60      0.08    21.4948
0.01    60      0.07    21.5265
0.005   60      0.06    21.5405
0.002   60      0.06    21.5412
0.008   60      0.06    21.5422

